Name,Quantity,Component
"Umood cue",1," Arduino Uno R3"
"Cpotentiometer capacitor, Cservo capacitor",2,"100 uF Capacitor"
"Rpot1",1,"250 kΩ Potentiometer"
"SERVO1",1,"Positional Micro Servo"
