Name,Quantity,Component
"Uspaceship interface",1," Arduino Uno R3"
"S1",1," Pushbutton"
"D1",1,"Green LED"
"R1, R2, R3",3,"220 Ω Resistor"
"D2, D3",2,"Red LED"
